id,friendlyName,group,help,type,dbField2
vlan.dot1ad,VLan dot1ad,general,vlan dot1ad,integer,dot1ad.id
vlan.dot1ad.cnt,VLan dot1ad Cnt,general,Unique number of vlan dot1ad,integer,dot1ad.idCnt
vni,VNI,general,vni value,integer,vni
vni.cnt,VNI Cnt,general,Unique number of vni value,integer,vniCnt
outerip.src,Src Outer IP,general,Source ethernet outer ip for session,ip,srcOuterIp
outerip.src.cnt,Src Outer IP Cnt,general,Unique number of Source ethernet outer ip for session,integer,srcOuterIpCnt
outerip.src.country,Src Outer IP GEO,general,GeoIP country string calculated from the Source ethernet outer ip for session,uptermfield,srcOuterGEO
outerip.src.asn,Src Outer IP ASN,general,GeoIP ASN string calculated from the Source ethernet outer ip for session,termfield,srcOuterASN
outerip.src.rir,Src Outer IP RIR,general,Regional Internet Registry string calculated from Source ethernet outer ip for session,uptermfield,srcOuterRIR
outerip.dst,Dst Outer IP,general,Destination outer ip for session,ip,dstOuterIp
outerip.dst.cnt,Dst Outer IP Cnt,general,Unique number of Destination outer ip for session,integer,dstOuterIpCnt
outerip.dst.country,Dst Outer IP GEO,general,GeoIP country string calculated from the Destination outer ip for session,uptermfield,dstOuterGEO
outerip.dst.asn,Dst Outer IP ASN,general,GeoIP ASN string calculated from the Destination outer ip for session,termfield,dstOuterASN
outerip.dst.rir,Dst Outer IP RIR,general,Regional Internet Registry string calculated from Destination outer ip for session,uptermfield,dstOuterRIR
outerip,Src or Dst Outer IP,general,Shorthand for outerip.src or outerip.dst,lotermfield,outeripall
tcpflags.syn,TCP Flag SYN,general,Count of packets with SYN and no ACK flag set,integer,tcpflags.syn
tcpflags.syn-ack,TCP Flag SYN-ACK,general,Count of packets with SYN and ACK flag set,integer,tcpflags.syn-ack
tcpflags.ack,TCP Flag ACK,general,Count of packets with only the ACK flag set,integer,tcpflags.ack
tcpflags.psh,TCP Flag PSH,general,Count of packets with PSH flag set,integer,tcpflags.psh
tcpflags.fin,TCP Flag FIN,general,Count of packets with FIN flag set,integer,tcpflags.fin
tcpflags.rst,TCP Flag RST,general,Count of packets with RST flag set,integer,tcpflags.rst
tcpflags.urg,TCP Flag URG,general,Count of packets with URG flag set,integer,tcpflags.urg
tcpflags.ece,TCP Flag ECE,general,Count of packets with ECE flag set,integer,tcpflags.ece
tcpflags.cwr,TCP Flag CWR,general,Count of packets with CWR flag set,integer,tcpflags.cwr
tcpflags.ae,TCP Flag AE,general,Count of packets with AE (Accurate ECN) flag set,integer,tcpflags.ae
initRTT,Initial RTT,general,"Initial round trip time, difference between SYN and ACK timestamp divided by 2 in ms",integer,initRTT
tcpseq.src,TCP Src Seq,general,Source SYN sequence number,integer,tcpseq.src
tcpseq.dst,TCP Dst Seq,general,Destination SYN-ACK sequence number,integer,tcpseq.dst
ethertype,Ethertype,general,The ethernet protocol type,integer,ethertype
region.src,Src Region,general,Source IP Region ISO,termfield,source.geo.region_iso_code
city.src,Src City,general,Source IP City Name,termfield,source.geo.city_name
region.dst,Dst Region,general,Destination IP Region ISO,termfield,destination.geo.region_iso_code
city.dst,Dst City,general,Destination IP City Name,termfield,destination.geo.city_name
session.segments,Session Segments,general,Number of segments in session so far,integer,segmentCnt
session.length,Session Length,general,Session Length in milliseconds so far,integer,length
user,User,general,External user set for session,lotermfield,user
user.cnt,User Cnt,general,Unique number of External user set for session,integer,userCnt
adb.version,Version,adb,ADB Protocol Version,termfield,adb.version
adb.version.cnt,Version Cnt,adb,Unique number of ADB Protocol Version,integer,adb.versionCnt
adb.serial,Serial,adb,ADB Device Serial Number,lotermfield,adb.serial
adb.serial.cnt,Serial Cnt,adb,Unique number of ADB Device Serial Number,integer,adb.serialCnt
adb.systemtype,System Type,adb,"ADB System Type (device, host, bootloader, etc.)",lotermfield,adb.systemtype
adb.systemtype.cnt,System Type Cnt,adb,"Unique number of ADB System Type (device, host, bootloader, etc.)",integer,adb.systemtypeCnt
adb.command,Command,adb,ADB Command Type,lotermfield,adb.command
adb.command.cnt,Command Cnt,adb,Unique number of ADB Command Type,integer,adb.commandCnt
adb.service,Service,adb,ADB Service Name,lotermfield,adb.service
adb.service.cnt,Service Cnt,adb,Unique number of ADB Service Name,integer,adb.serviceCnt
adb.maxpayload,Max Payload,adb,ADB Maximum Payload Size,termfield,adb.maxpayload
adb.maxpayload.cnt,Max Payload Cnt,adb,Unique number of ADB Maximum Payload Size,integer,adb.maxpayloadCnt
adb.authtype,Auth Type,adb,ADB Authentication Type,lotermfield,adb.authtype
adb.authtype.cnt,Auth Type Cnt,adb,Unique number of ADB Authentication Type,integer,adb.authtypeCnt
adb.streamid,Stream ID,adb,ADB Stream Identifier,termfield,adb.streamid
adb.streamid.cnt,Stream ID Cnt,adb,Unique number of ADB Stream Identifier,integer,adb.streamidCnt
adb.sync.operation,Sync Operation,adb,"ADB File Sync Operation (SEND, RECV, LIST, STAT)",lotermfield,adb.sync.operation
adb.sync.operation.cnt,Sync Operation Cnt,adb,"Unique number of ADB File Sync Operation (SEND, RECV, LIST, STAT)",integer,adb.sync.operationCnt
adb.sync.path,Sync Path,adb,ADB File Sync Path,lotermfield,adb.sync.path
adb.sync.path.cnt,Sync Path Cnt,adb,Unique number of ADB File Sync Path,integer,adb.sync.pathCnt
adb.shell.exitcode,Shell Exit Code,adb,ADB Shell Command Exit Code,termfield,adb.shell.exitcode
adb.shell.exitcode.cnt,Shell Exit Code Cnt,adb,Unique number of ADB Shell Command Exit Code,integer,adb.shell.exitcodeCnt
adb.forward.local,Forward Local,adb,ADB Port Forward Local Endpoint,lotermfield,adb.forward.local
adb.forward.local.cnt,Forward Local Cnt,adb,Unique number of ADB Port Forward Local Endpoint,integer,adb.forward.localCnt
adb.forward.remote,Forward Remote,adb,ADB Port Forward Remote Endpoint,lotermfield,adb.forward.remote
adb.forward.remote.cnt,Forward Remote Cnt,adb,Unique number of ADB Port Forward Remote Endpoint,integer,adb.forward.remoteCnt
adb.forward.direction,Forward Direction,adb,ADB Port Forward Direction (forward or reverse),lotermfield,adb.forward.direction
adb.forward.direction.cnt,Forward Direction Cnt,adb,Unique number of ADB Port Forward Direction (forward or reverse),integer,adb.forward.directionCnt
bacnet.function,Function,bacnet,BACnet BVLC function,termfield,bacnet.function
bacnet.function.cnt,Function Cnt,bacnet,Unique number of BACnet BVLC function,integer,bacnet.functionCnt
bacnet.service,Service,bacnet,BACnet APDU service,termfield,bacnet.service
bacnet.service.cnt,Service Cnt,bacnet,Unique number of BACnet APDU service,integer,bacnet.serviceCnt
bacnet.apdu-type,APDU Type,bacnet,BACnet APDU type,termfield,bacnet.apduType
bacnet.apdu-type.cnt,APDU Type Cnt,bacnet,Unique number of BACnet APDU type,integer,bacnet.apduTypeCnt
bacnet.object-name,Object Name,bacnet,BACnet object name,termfield,bacnet.objectName
bacnet.object-name.cnt,Object Name Cnt,bacnet,Unique number of BACnet object name,integer,bacnet.objectNameCnt
bgp.type,Type,bgp,BGP Type field,uptermfield,bgp.type
c1222.calledApTitle,Called AP Title,c1222,C12.22 called AP title OID,termfield,c1222.calledApTitle
c1222.calledApTitle.cnt,Called AP Title Cnt,c1222,Unique number of C12.22 called AP title OID,integer,c1222.calledApTitleCnt
c1222.callingApTitle,Calling AP Title,c1222,C12.22 calling AP title OID,termfield,c1222.callingApTitle
c1222.callingApTitle.cnt,Calling AP Title Cnt,c1222,Unique number of C12.22 calling AP title OID,integer,c1222.callingApTitleCnt
c1222.calledApInvocationId,Called AP Invocation ID,c1222,C12.22 called AP invocation identifier,integer,c1222.calledApInvocationId
c1222.calledApInvocationId.cnt,Called AP Invocation ID Cnt,c1222,Unique number of C12.22 called AP invocation identifier,integer,c1222.calledApInvocationIdCnt
c1222.callingApInvocationId,Calling AP Invocation ID,c1222,C12.22 calling AP invocation identifier,integer,c1222.callingApInvocationId
c1222.callingApInvocationId.cnt,Calling AP Invocation ID Cnt,c1222,Unique number of C12.22 calling AP invocation identifier,integer,c1222.callingApInvocationIdCnt
c1222.securityMode,Security Mode,c1222,C12.22 EPSEM security mode,termfield,c1222.securityMode
c1222.securityMode.cnt,Security Mode Cnt,c1222,Unique number of C12.22 EPSEM security mode,integer,c1222.securityModeCnt
c1222.responseControl,Response Control,c1222,C12.22 EPSEM response control,termfield,c1222.responseControl
c1222.responseControl.cnt,Response Control Cnt,c1222,Unique number of C12.22 EPSEM response control,integer,c1222.responseControlCnt
camel.op,Operation,camel,CAP/CAMEL Operation Name,lotermfield,camel.op
camel.op.cnt,Operation Cnt,camel,Unique number of CAP/CAMEL Operation Name,integer,camel.opCnt
camel.calling,Calling,camel,CAP Calling Party Number,termfield,camel.calling
camel.calling.cnt,Calling Cnt,camel,Unique number of CAP Calling Party Number,integer,camel.callingCnt
camel.called,Called,camel,CAP Called Party Number,termfield,camel.called
camel.called.cnt,Called Cnt,camel,Unique number of CAP Called Party Number,integer,camel.calledCnt
camel.imsi,IMSI,camel,CAP IMSI,termfield,camel.imsi
camel.imsi.cnt,IMSI Cnt,camel,Unique number of CAP IMSI,integer,camel.imsiCnt
cert.cnt,Cert Cnt,cert,Count of certificates,integer,certCnt
cert.alt,Alt Name,cert,Certificate alternative names,lotermfield,cert.alt
cert.alt.cnt,Alt Name Cnt,cert,Unique number of Certificate alternative names,integer,cert.altCnt
cert.serial,Serial Number,cert,Serial Number,lotermfield,cert.serial
cert.issuer.cn,Issuer CN,cert,Issuer's common name,lotermfield,cert.issuerCN
cert.subject.cn,Subject CN,cert,Subject's common name,lotermfield,cert.subjectCN
cert.issuer.on,Issuer ON,cert,Issuer's organization name,termfield,cert.issuerON
cert.subject.on,Subject ON,cert,Subject's organization name,termfield,cert.subjectON
cert.issuer.ou,Issuer Org Unit,cert,Issuer's organizational unit,termfield,cert.issuerOU
cert.subject.ou,Subject Org Unit,cert,Subject's organizational unit,termfield,cert.subjectOU
cert.hash,Hash,cert,SHA1 hash of entire certificate,lotermfield,cert.hash
cert.notbefore,Not Before,cert,Certificate is not valid before this date,date,cert.notBefore
cert.notafter,Not After,cert,Certificate is not valid after this date,date,cert.notAfter
cert.validfor,Days Valid For,cert,Certificate is valid for this many days total,integer,cert.validDays
cert.remainingDays,Days remaining,cert,Certificate is still valid for this many days,integer,cert.remainingDays
cert.validforSeconds,Seconds Valid For,cert,Certificate is valid for this many seconds total,integer,cert.validSeconds
cert.remainingSeconds,Seconds remaining,cert,Certificate is still valid for this many seconds,integer,cert.remainingSeconds
cert.curve,Curve,cert,Curve Algorithm,termfield,cert.curve
cert.publicAlgorithm,Public Algorithm,cert,Public Key Algorithm,termfield,cert.publicAlgorithm
dcerpc.uuid,UUID,dcerpc,DCE/RPC interface UUID,termfield,dcerpc.uuid
dcerpc.uuid.cnt,UUID Cnt,dcerpc,Unique number of DCE/RPC interface UUID,integer,dcerpc.uuidCnt
dcerpc.interface,Interface,dcerpc,DCE/RPC interface name,termfield,dcerpc.interface
dcerpc.interface.cnt,Interface Cnt,dcerpc,Unique number of DCE/RPC interface name,integer,dcerpc.interfaceCnt
dcerpc.msgType,Message Type,dcerpc,DCE/RPC message type,termfield,dcerpc.msgType
dcerpc.msgType.cnt,Message Type Cnt,dcerpc,Unique number of DCE/RPC message type,integer,dcerpc.msgTypeCnt
dcerpc.opnum,Opnum,dcerpc,DCE/RPC operation number,integer,dcerpc.opnum
dcerpc.opnum.cnt,Opnum Cnt,dcerpc,Unique number of DCE/RPC operation number,integer,dcerpc.opnumCnt
dcerpc.version,Version,dcerpc,DCE/RPC interface version,termfield,dcerpc.version
dcerpc.version.cnt,Version Cnt,dcerpc,Unique number of DCE/RPC interface version,integer,dcerpc.versionCnt
dhcp.type,DHCP Type,dhcp,DHCP Type,uptermfield,dhcp.type
dhcp.type.cnt,DHCP Type Cnt,dhcp,Unique number of DHCP Type,integer,dhcp.typeCnt
dhcp.host,DHCP Host,dhcp,DHCP Host,lotermfield,dhcp.host
dhcp.host.cnt,DHCP Host Cnt,dhcp,Unique number of DHCP Host,integer,dhcp.hostCnt
dhcp.host.tokens,Hostname Tokens,dhcp,DHCP Hostname Tokens,lotextfield,dhcp.hostTokens
dhcp.mac,DHCP Client MAC,dhcp,Client ethernet MAC,lotermfield,dhcp.mac
dhcp.mac.cnt,DHCP Client MAC Cnt,dhcp,Unique number of Client ethernet MAC,integer,dhcp.macCnt
dhcp.oui,DHCP Client OUI,dhcp,Client ethernet OUI,termfield,dhcp.oui
dhcp.oui.cnt,DHCP Client OUI Cnt,dhcp,Unique number of Client ethernet OUI,integer,dhcp.ouiCnt
dhcp.id,DHCP Transaction id,dhcp,DHCP Transaction Id,lotermfield,dhcp.id
dhcp.id.cnt,DHCP Transaction id Cnt,dhcp,Unique number of DHCP Transaction Id,integer,dhcp.idCnt
dhcp.classId,DHCP Vendor Class,dhcp,DHCP Vendor Class Identifier,termfield,dhcp.classId
dhcp.classId.cnt,DHCP Vendor Class Cnt,dhcp,Unique number of DHCP Vendor Class Identifier,integer,dhcp.classIdCnt
dhcp.requestIp,DHCP Request IP,dhcp,DHCP Requested IP Address,ip,dhcp.requestIp
dhcp.requestIp.cnt,DHCP Request IP Cnt,dhcp,Unique number of DHCP Requested IP Address,integer,dhcp.requestIpCnt
dhcp.requestIp.country,DHCP Request IP GEO,dhcp,GeoIP country string calculated from the DHCP Requested IP Address,uptermfield,dhcp.requestGEO
dhcp.requestIp.asn,DHCP Request IP ASN,dhcp,GeoIP ASN string calculated from the DHCP Requested IP Address,termfield,dhcp.requestASN
dhcp.requestIp.rir,DHCP Request IP RIR,dhcp,Regional Internet Registry string calculated from DHCP Requested IP Address,uptermfield,dhcp.requestRIR
diameter.origin-host,Origin Host,diameter,Diameter Origin-Host AVP,termfield,diameter.originHost
diameter.origin-host.cnt,Origin Host Cnt,diameter,Unique number of Diameter Origin-Host AVP,integer,diameter.originHostCnt
diameter.origin-realm,Origin Realm,diameter,Diameter Origin-Realm AVP,termfield,diameter.originRealm
diameter.origin-realm.cnt,Origin Realm Cnt,diameter,Unique number of Diameter Origin-Realm AVP,integer,diameter.originRealmCnt
diameter.dest-host,Dest Host,diameter,Diameter Destination-Host AVP,termfield,diameter.destHost
diameter.dest-host.cnt,Dest Host Cnt,diameter,Unique number of Diameter Destination-Host AVP,integer,diameter.destHostCnt
diameter.dest-realm,Dest Realm,diameter,Diameter Destination-Realm AVP,termfield,diameter.destRealm
diameter.dest-realm.cnt,Dest Realm Cnt,diameter,Unique number of Diameter Destination-Realm AVP,integer,diameter.destRealmCnt
diameter.session-id,Session ID,diameter,Diameter Session-Id AVP,termfield,diameter.sessionId
diameter.session-id.cnt,Session ID Cnt,diameter,Unique number of Diameter Session-Id AVP,integer,diameter.sessionIdCnt
diameter.user,User,diameter,Diameter User-Name AVP,termfield,diameter.user
diameter.user.cnt,User Cnt,diameter,Unique number of Diameter User-Name AVP,integer,diameter.userCnt
diameter.cmd,Command,diameter,Diameter Command Code,termfield,diameter.cmd
diameter.cmd.cnt,Command Cnt,diameter,Unique number of Diameter Command Code,integer,diameter.cmdCnt
diameter.app,Application,diameter,Diameter Application ID,termfield,diameter.app
diameter.app.cnt,Application Cnt,diameter,Unique number of Diameter Application ID,integer,diameter.appCnt
diameter.resultCode,Result Code,diameter,"Diameter Result-Code AVP (268): 2xxx success, 3xxx protocol error, 4xxx transient failure, 5xxx permanent failure",integer,diameter.resultCode
diameter.resultCode.cnt,Result Code Cnt,diameter,"Unique number of Diameter Result-Code AVP (268): 2xxx success, 3xxx protocol error, 4xxx transient failure, 5xxx permanent failure",integer,diameter.resultCodeCnt
dnp3.src,DNP3 Source Address,dnp3,DNP3 Source Addresses,integer,dnp3.src
dnp3.src.cnt,DNP3 Source Address Cnt,dnp3,Unique number of DNP3 Source Addresses,integer,dnp3.srcCnt
dnp3.dst,DNP3 Destination Address,dnp3,DNP3 Destination Addresses,integer,dnp3.dst
dnp3.dst.cnt,DNP3 Destination Address Cnt,dnp3,Unique number of DNP3 Destination Addresses,integer,dnp3.dstCnt
dnp3.func,DNP3 Function Code,dnp3,DNP3 Function Codes,integer,dnp3.func
dnp3.func.cnt,DNP3 Function Code Cnt,dnp3,Unique number of DNP3 Function Codes,integer,dnp3.funcCnt
dnp3.funcName,DNP3 Function Name,dnp3,"DNP3 Function Code Names (Read, Write, DirectOperate, Response, etc)",termfield,dnp3.funcName
dnp3.funcName.cnt,DNP3 Function Name Cnt,dnp3,"Unique number of DNP3 Function Code Names (Read, Write, DirectOperate, Response, etc)",integer,dnp3.funcNameCnt
ip.dns,DNS IP,dns,IP from DNS result,ip,dns.ip
ip.dns.cnt,DNS IP Cnt,dns,Unique number of IP from DNS result,integer,dns.ipCnt
country.dns,DNS GEO,dns,GeoIP country string calculated from the IP from DNS result,uptermfield,dns.GEO
asn.dns,DNS ASN,dns,GeoIP ASN string calculated from the IP from DNS result,termfield,dns.ASN
rir.dns,DNS RIR,dns,Regional Internet Registry string calculated from IP from DNS result,uptermfield,dns.RIR
ip.dns.nameserver,DNS NS IP,dns,IPs for nameservers,ip,dns.nameserverIp
ip.dns.nameserver.cnt,DNS NS IP Cnt,dns,Unique number of IPs for nameservers,integer,dns.nameserverIpCnt
country.dns.nameserver,DNS NS GEO,dns,GeoIP country string calculated from the IPs for nameservers,uptermfield,dns.nameserverGEO
asn.dns.nameserver,DNS NS ASN,dns,GeoIP ASN string calculated from the IPs for nameservers,termfield,dns.nameserverASN
rir.dns.nameserver,DNS NS RIR,dns,Regional Internet Registry string calculated from IPs for nameservers,uptermfield,dns.nameserverRIR
ip.dns.mailserver,DNS MX IP,dns,IPs for mailservers,ip,dns.mailserverIp
ip.dns.mailserver.cnt,DNS MX IP Cnt,dns,Unique number of IPs for mailservers,integer,dns.mailserverIpCnt
country.dns.mailserver,DNS MX GEO,dns,GeoIP country string calculated from the IPs for mailservers,uptermfield,dns.mailserverGEO
asn.dns.mailserver,DNS MX ASN,dns,GeoIP ASN string calculated from the IPs for mailservers,termfield,dns.mailserverASN
rir.dns.mailserver,DNS MX RIR,dns,Regional Internet Registry string calculated from IPs for mailservers,uptermfield,dns.mailserverRIR
ip.dns.all,DNS All IP,dns,Shorthand for ip.dns or ip.dns.nameserver,ip,dnsipall
host.dns,DNS Host,dns,DNS lookup hostname,lotermfield,dns.host
host.dns.cnt,DNS Host Cnt,dns,Unique number of DNS lookup hostname,integer,dns.hostCnt
host.dns.tokens,Hostname Tokens,dns,DNS lookup hostname tokens,lotextfield,dns.hostTokens
host.dns.nameserver,DNS NS Host,dns,Hostnames for Name Server,lotermfield,dns.nameserverHost
host.dns.nameserver.cnt,DNS NS Host Cnt,dns,Unique number of Hostnames for Name Server,integer,dns.nameserverHostCnt
host.dns.mailserver,DNS MX Host,dns,Hostnames for Mail Exchange Server,lotermfield,dns.mailserverHost
host.dns.mailserver.cnt,DNS MX Host Cnt,dns,Unique number of Hostnames for Mail Exchange Server,integer,dns.mailserverHostCnt
host.dns.all,DNS All Host,dns,Shorthand for host.dns or host.dns.nameserver,lotermfield,dnshostall
dns.puny,DNS Puny,dns,DNS lookup punycode,lotermfield,dns.puny
dns.puny.cnt,DNS Puny Cnt,dns,Unique number of DNS lookup punycode,integer,dns.punyCnt
dns.status,DNS Status Code,dns,DNS lookup return code,uptermfield,dns.status
dns.status.cnt,DNS Status Code Cnt,dns,Unique number of DNS lookup return code,integer,dns.statusCnt
dns.opcode,DNS Op Code,dns,DNS lookup op code,uptermfield,dns.opcode
dns.opcode.cnt,DNS Op Code Cnt,dns,Unique number of DNS lookup op code,integer,dns.opcodeCnt
dns.query.type,DNS Query Type,dns,DNS lookup query type,uptermfield,dns.qt
dns.query.type.cnt,DNS Query Type Cnt,dns,Unique number of DNS lookup query type,integer,dns.qtCnt
dns.query.class,DNS Query Class,dns,DNS lookup query class,uptermfield,dns.qc
dns.query.class.cnt,DNS Query Class Cnt,dns,Unique number of DNS lookup query class,integer,dns.qcCnt
dns.query.host,DNS Query Host,dns,DNS Query Name,lotermfield,dns.queryHost
dns.query.host.cnt,DNS Query Host Cnt,dns,Unique number of DNS Query Name,integer,dns.queryHostCnt
dns.answer.cnt,DNS Answers Cnt,dns,Count of DNS Answers,integer,dns.answersCnt
dns.answer.type,DNS Answer Type,dns,DNS Answer Type,uptermfield,dns.answers.type
dns.answer.class,DNS Answer Class,dns,DNS Answer Class,uptermfield,dns.answers.class
dns.answer.ttl,DNS Answer TTL,dns,DNS Answer TTL,integer,dns.answers.ttl
dns.answer.ip,DNS Answer IP,dns,DNS Answer IP,ip,dns.answers.ip
dns.answer.cname,DNS Answer CNAME,dns,DNS Answer CNAME,termfield,dns.answers.cname
dns.answer.ns,DNS Answer NS,dns,DNS Answer NS,termfield,dns.answers.nameserver
dns.answer.mx,DNS Answer MX,dns,DNS Answer MX,termfield,dns.answers.mx
dns.answer.priority,DNS Answer Priority,dns,DNS Answer Priority,integer,dns.answers.priority
dns.answer.https,DNS Answer HTTPS,dns,DNS Answer HTTPS,termfield,dns.answers.https
dns.answer.txt,DNS Answer TXT,dns,DNS Answer TXT,termfield,dns.answers.txt
dns.answer.caa,DNS Answer CAA,dns,DNS Answer CAA,termfield,dns.answers.caa
dns.answer.rrsig,DNS Answer RRSIG,dns,DNS Answer RRSIG,termfield,dns.answers.rrsig
dns.answer.nsec,DNS Answer NSEC,dns,DNS Answer NSEC,termfield,dns.answers.nsec
